step,time,step time (ms)
4650,2016-02-11T00:58:12.749750,22.0069885254
4660,2016-02-11T00:58:13.043286,25.9358882904
4670,2016-02-11T00:58:13.296874,21.7249393463
4680,2016-02-11T00:58:13.534347,24.374961853
4690,2016-02-11T00:58:13.793584,26.7219543457
4700,2016-02-11T00:58:14.155990,26.5779495239
4710,2016-02-11T00:58:14.398502,24.6849060059
4720,2016-02-11T00:58:14.650879,23.775100708
4730,2016-02-11T00:58:14.904956,25.5908966064
4740,2016-02-11T00:58:15.141082,23.5629081726
4750,2016-02-11T00:58:15.381879,22.5419998169
4760,2016-02-11T00:58:15.623149,25.4349708557
4770,2016-02-11T00:58:15.859083,24.295091629
4780,2016-02-11T00:58:16.103360,28.1569957733
4790,2016-02-11T00:58:16.341441,22.3200321198
4800,2016-02-11T00:58:16.580358,22.2799777985
4810,2016-02-11T00:58:16.839852,29.1721820831
4820,2016-02-11T00:58:17.084003,25.3469944
4830,2016-02-11T00:58:17.343574,25.3539085388
4840,2016-02-11T00:58:17.593580,23.65899086
4850,2016-02-11T00:58:17.867341,39.0341281891
4860,2016-02-11T00:58:18.106508,23.5819816589
4870,2016-02-11T00:58:18.334982,22.6080417633
4880,2016-02-11T00:58:18.574217,20.1661586761
4890,2016-02-11T00:58:18.858926,62.4611377716
4900,2016-02-11T00:58:19.145137,24.1279602051
4910,2016-02-11T00:58:19.408741,25.6021022797
4920,2016-02-11T00:58:19.649877,20.1890468597
4930,2016-02-11T00:58:19.917777,22.2158432007
4940,2016-02-11T00:58:20.159773,21.9039916992
4950,2016-02-11T00:58:21.107261,25.0499248505
4960,2016-02-11T00:58:21.344605,22.7241516113
4970,2016-02-11T00:58:21.578003,20.4198360443
4980,2016-02-11T00:58:21.824154,33.6601734161
4990,2016-02-11T00:58:22.072088,24.631023407
5000,2016-02-11T00:58:30.000071,21.094083786
5010,2016-02-11T00:58:30.238916,21.8729972839
5020,2016-02-11T00:58:30.477260,27.4209976196
5030,2016-02-11T00:58:30.717222,22.1002101898
5040,2016-02-11T00:58:30.960831,21.0280418396
5050,2016-02-11T00:58:31.193751,22.5429534912
5060,2016-02-11T00:58:31.431285,22.4049091339
5070,2016-02-11T00:58:31.675342,26.9501209259
5080,2016-02-11T00:58:31.932531,21.6901302338
5090,2016-02-11T00:58:32.173759,25.2420902252
5100,2016-02-11T00:58:32.414967,23.8511562347
5110,2016-02-11T00:58:32.681998,22.3350524902
5120,2016-02-11T00:58:32.942094,25.43592453
5130,2016-02-11T00:58:33.198971,19.809961319
5140,2016-02-11T00:58:33.437079,21.7049121857
5150,2016-02-11T00:58:33.695920,24.8501300812
5160,2016-02-11T00:58:33.972913,24.6832370758
5170,2016-02-11T00:58:34.208868,24.7340202332
5180,2016-02-11T00:58:34.440157,23.3771800995
5190,2016-02-11T00:58:34.674408,24.6729850769
5200,2016-02-11T00:58:34.959633,33.6630344391
5210,2016-02-11T00:58:35.202319,24.0938663483
5220,2016-02-11T00:58:35.478559,23.9322185516
5230,2016-02-11T00:58:35.733357,29.4449329376
5240,2016-02-11T00:58:35.978804,20.4710960388
5250,2016-02-11T00:58:36.200343,21.0168361664
5260,2016-02-11T00:58:36.415723,17.0459747314
5270,2016-02-11T00:58:36.603492,16.5271759033
5280,2016-02-11T00:58:36.829809,16.5729522705
5290,2016-02-11T00:58:37.016245,23.549079895
5300,2016-02-11T00:58:37.202876,18.6588764191
5310,2016-02-11T00:58:37.387805,17.1120166779
5320,2016-02-11T00:58:37.574859,16.5059566498
5330,2016-02-11T00:58:37.765636,18.9380645752
5340,2016-02-11T00:58:37.963547,16.4251327515
5350,2016-02-11T00:58:38.148515,16.585111618
5360,2016-02-11T00:58:38.342266,22.0611095428
5370,2016-02-11T00:58:38.540904,17.2829627991
